DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.000474537037, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.868399439e+305, 4.185629055e+306
0.000474537037, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0004861111111, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0004861111111, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0004861111111, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.868399439e+305
0.0004861111111, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.868399439e+305, 4.185629055e+306
0.0004861111111, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0004976851852, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0004976851852, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0004976851852, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0004976851852, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0004976851852, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005092592593, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005092592593, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005092592593, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005092592593, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005092592593, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005208333333, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005208333333, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005208333333, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005208333333, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005208333333, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005324074074, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005324074074, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005324074074, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
